train,val,test
tumor_103,tumor_080,test_001
tumor_098,normal_080,test_002
tumor_050,normal_043,test_003
tumor_109,tumor_035,test_004
tumor_092,normal_076,test_005
tumor_004,normal_157,test_006
normal_014,tumor_110,test_007
normal_106,normal_148,test_008
normal_087,normal_119,test_009
normal_118,tumor_030,test_010
normal_153,tumor_024,test_011
tumor_016,normal_103,test_012
normal_049,normal_151,test_013
tumor_046,tumor_067,test_014
normal_114,tumor_014,test_015
tumor_065,tumor_104,test_016
normal_117,normal_109,test_017
normal_141,normal_004,test_018
normal_051,normal_053,test_019
tumor_011,tumor_095,test_020
normal_152,normal_101,test_021
normal_111,normal_084,test_022
normal_029,tumor_040,test_023
normal_095,tumor_053,test_024
tumor_020,normal_001,test_025
tumor_023,normal_145,test_026
tumor_094,tumor_052,test_027
tumor_038,tumor_070,test_028
normal_156,tumor_008,test_029
normal_088,tumor_085,test_030
normal_123,normal_037,test_031
tumor_083,normal_005,test_032
tumor_078,tumor_013,test_033
normal_160,normal_155,test_034
tumor_060,normal_135,test_035
normal_056,normal_099,test_036
normal_009,normal_064,test_037
tumor_071,normal_096,test_038
tumor_010,tumor_072,test_039
tumor_048,normal_046,test_040
normal_092,tumor_033,test_041
normal_126,normal_039,test_042
normal_016,normal_131,test_043
tumor_031,normal_094,test_044
normal_138,normal_102,test_045
normal_034,normal_048,test_046
tumor_044,tumor_015,test_047
normal_019,tumor_047,test_048
normal_055,normal_147,test_050
normal_002,tumor_029,test_051
normal_159,normal_067,test_052
normal_065,normal_137,test_053
tumor_081,normal_057,test_054
tumor_049,tumor_091,test_055
tumor_102,,test_056
tumor_088,,test_057
normal_078,,test_058
tumor_036,,test_059
tumor_076,,test_060
normal_100,,test_061
normal_030,,test_062
normal_129,,test_063
normal_012,,test_064
normal_015,,test_065
normal_025,,test_066
normal_018,,test_067
tumor_051,,test_068
normal_082,,test_069
tumor_107,,test_070
normal_093,,test_071
normal_066,,test_072
tumor_062,,test_073
normal_026,,test_074
normal_007,,test_075
normal_140,,test_076
tumor_057,,test_077
normal_072,,test_078
tumor_041,,test_079
tumor_025,,test_080
normal_104,,test_081
tumor_063,,test_082
normal_150,,test_083
normal_069,,test_084
tumor_093,,test_085
normal_040,,test_086
normal_144,,test_087
normal_085,,test_088
normal_060,,test_089
normal_010,,test_090
tumor_022,,test_091
normal_115,,test_092
normal_059,,test_093
tumor_073,,test_094
tumor_037,,test_095
normal_058,,test_096
tumor_003,,test_097
tumor_009,,test_098
tumor_061,,test_099
tumor_045,,test_100
normal_035,,test_101
tumor_017,,test_102
normal_050,,test_103
tumor_089,,test_104
tumor_101,,test_105
normal_038,,test_106
normal_047,,test_107
tumor_026,,test_108
tumor_034,,test_109
normal_024,,test_110
normal_023,,test_111
normal_116,,test_112
tumor_032,,test_113
tumor_082,,test_114
tumor_106,,test_115
normal_133,,test_116
normal_097,,test_117
normal_146,,test_118
normal_091,,test_119
tumor_097,,test_120
normal_139,,test_121
normal_112,,test_122
normal_120,,test_123
normal_003,,test_124
tumor_021,,test_125
tumor_059,,test_126
normal_074,,test_127
normal_011,,test_128
normal_042,,test_129
tumor_096,,test_130
normal_033,,
normal_079,,
normal_041,,
normal_063,,
normal_149,,
normal_022,,
normal_032,,
normal_105,,
normal_077,,
normal_083,,
normal_089,,
normal_090,,
tumor_084,,
normal_068,,
tumor_056,,
tumor_055,,
tumor_018,,
normal_052,,
normal_136,,
tumor_005,,
tumor_069,,
tumor_087,,
tumor_075,,
tumor_001,,
normal_013,,
normal_124,,
normal_021,,
tumor_007,,
normal_158,,
normal_061,,
tumor_006,,
normal_045,,
normal_143,,
normal_073,,
tumor_099,,
normal_122,,
tumor_028,,
tumor_002,,
tumor_039,,
tumor_086,,
tumor_019,,
tumor_077,,
normal_008,,
normal_020,,
normal_036,,
tumor_043,,
normal_062,,
normal_044,,
normal_121,,
normal_006,,
normal_132,,
normal_071,,
tumor_111,,
normal_108,,
tumor_012,,
tumor_054,,
normal_134,,
tumor_068,,
tumor_079,,
tumor_090,,
normal_017,,
tumor_064,,
normal_107,,
normal_110,,
tumor_066,,
tumor_108,,
tumor_058,,
tumor_105,,
normal_154,,
normal_098,,
normal_070,,
normal_054,,
normal_127,,
tumor_042,,
normal_128,,
normal_075,,
normal_113,,
normal_142,,
normal_125,,
tumor_027,,
normal_028,,
normal_031,,
tumor_074,,
normal_081,,
tumor_100,,
normal_130,,
