train,val,test
normal_146,tumor_006,test_001
normal_019,normal_107,test_002
tumor_077,normal_157,test_003
tumor_043,tumor_028,test_004
normal_143,normal_053,test_005
tumor_079,normal_038,test_006
normal_147,tumor_021,test_007
normal_104,tumor_076,test_008
tumor_023,tumor_080,test_009
normal_014,tumor_062,test_010
normal_030,tumor_083,test_011
tumor_109,tumor_032,test_012
normal_094,normal_133,test_013
normal_071,normal_050,test_014
normal_013,normal_084,test_015
normal_005,normal_003,test_016
normal_125,tumor_046,test_017
normal_016,tumor_094,test_018
normal_103,tumor_108,test_019
tumor_040,normal_011,test_020
normal_080,normal_012,test_021
normal_072,normal_115,test_022
tumor_025,tumor_081,test_023
normal_082,normal_130,test_024
normal_068,normal_134,test_025
tumor_002,normal_096,test_026
normal_069,normal_153,test_027
normal_092,normal_064,test_028
tumor_061,normal_126,test_029
tumor_036,normal_101,test_030
tumor_050,tumor_090,test_031
tumor_085,normal_024,test_032
tumor_089,normal_044,test_033
normal_135,tumor_051,test_034
normal_020,normal_043,test_035
normal_070,tumor_073,test_036
tumor_044,normal_117,test_037
normal_023,normal_141,test_038
normal_036,normal_124,test_039
tumor_014,normal_045,test_040
tumor_019,normal_089,test_041
normal_093,tumor_069,test_042
tumor_049,tumor_042,test_043
tumor_045,normal_152,test_044
tumor_074,tumor_007,test_045
tumor_029,tumor_004,test_046
tumor_056,normal_060,test_047
normal_004,tumor_011,test_048
normal_154,normal_052,test_050
normal_032,tumor_082,test_051
tumor_068,tumor_104,test_052
normal_048,normal_001,test_053
tumor_095,normal_015,test_054
tumor_035,normal_149,test_055
normal_099,,test_056
normal_116,,test_057
normal_054,,test_058
normal_051,,test_059
normal_039,,test_060
normal_066,,test_061
normal_067,,test_062
normal_105,,test_063
normal_123,,test_064
normal_074,,test_065
tumor_015,,test_066
normal_151,,test_067
tumor_041,,test_068
normal_002,,test_069
normal_063,,test_070
tumor_057,,test_071
normal_156,,test_072
normal_041,,test_073
normal_091,,test_074
normal_142,,test_075
tumor_039,,test_076
tumor_066,,test_077
normal_138,,test_078
tumor_012,,test_079
normal_100,,test_080
tumor_103,,test_081
tumor_072,,test_082
normal_037,,test_083
tumor_027,,test_084
normal_021,,test_085
normal_009,,test_086
tumor_091,,test_087
normal_008,,test_088
tumor_047,,test_089
normal_029,,test_090
tumor_092,,test_091
normal_097,,test_092
normal_098,,test_093
normal_139,,test_094
normal_033,,test_095
normal_102,,test_096
normal_059,,test_097
normal_144,,test_098
normal_140,,test_099
normal_056,,test_100
tumor_024,,test_101
normal_114,,test_102
tumor_003,,test_103
normal_034,,test_104
tumor_098,,test_105
tumor_013,,test_106
normal_077,,test_107
normal_085,,test_108
normal_055,,test_109
tumor_093,,test_110
normal_128,,test_111
normal_031,,test_112
tumor_017,,test_113
normal_042,,test_114
normal_010,,test_115
tumor_031,,test_116
normal_022,,test_117
normal_073,,test_118
normal_137,,test_119
normal_145,,test_120
normal_046,,test_121
tumor_111,,test_122
normal_136,,test_123
tumor_030,,test_124
tumor_070,,test_125
tumor_034,,test_126
tumor_016,,test_127
normal_026,,test_128
normal_119,,test_129
tumor_026,,test_130
tumor_075,,
tumor_010,,
tumor_060,,
normal_120,,
normal_088,,
tumor_102,,
tumor_005,,
tumor_058,,
normal_109,,
tumor_071,,
tumor_099,,
normal_148,,
tumor_065,,
normal_095,,
normal_058,,
tumor_053,,
tumor_107,,
tumor_084,,
normal_025,,
tumor_008,,
normal_049,,
tumor_087,,
normal_047,,
normal_132,,
normal_158,,
normal_040,,
tumor_100,,
normal_079,,
tumor_105,,
normal_111,,
normal_155,,
tumor_078,,
tumor_048,,
normal_113,,
normal_018,,
tumor_064,,
tumor_097,,
normal_090,,
normal_112,,
normal_007,,
tumor_009,,
tumor_022,,
tumor_110,,
normal_087,,
tumor_033,,
normal_121,,
normal_108,,
normal_065,,
tumor_101,,
normal_127,,
tumor_067,,
normal_062,,
normal_057,,
tumor_086,,
normal_081,,
tumor_052,,
normal_006,,
normal_110,,
tumor_059,,
tumor_088,,
tumor_106,,
tumor_018,,
normal_083,,
tumor_020,,
tumor_037,,
tumor_096,,
normal_078,,
normal_118,,
normal_129,,
tumor_063,,
tumor_055,,
normal_017,,
tumor_038,,
normal_076,,
normal_035,,
normal_075,,
normal_160,,
tumor_054,,
normal_061,,
normal_122,,
normal_028,,
normal_159,,
normal_150,,
tumor_001,,
normal_131,,
normal_106,,
