train,val,test
normal_109,normal_135,test_001
normal_052,normal_148,test_002
normal_090,normal_075,test_003
normal_146,normal_034,test_004
tumor_062,tumor_101,test_005
normal_071,normal_104,test_006
tumor_027,normal_007,test_007
normal_059,normal_096,test_008
normal_064,normal_153,test_009
tumor_067,tumor_073,test_010
tumor_009,tumor_056,test_011
tumor_017,tumor_003,test_012
tumor_093,normal_105,test_013
normal_150,tumor_084,test_014
normal_055,tumor_105,test_015
tumor_047,tumor_086,test_016
tumor_071,tumor_025,test_017
tumor_026,normal_154,test_018
normal_033,tumor_057,test_019
normal_050,tumor_091,test_020
tumor_004,normal_111,test_021
normal_113,tumor_038,test_022
tumor_066,tumor_045,test_023
normal_082,normal_020,test_024
normal_070,normal_036,test_025
normal_035,normal_092,test_026
normal_080,normal_073,test_027
tumor_029,normal_037,test_028
tumor_095,normal_001,test_029
normal_062,tumor_031,test_030
normal_043,normal_124,test_031
normal_032,tumor_015,test_032
tumor_043,normal_049,test_033
normal_133,tumor_011,test_034
tumor_096,normal_139,test_035
normal_134,normal_041,test_036
normal_042,tumor_065,test_037
tumor_055,normal_121,test_038
tumor_051,normal_058,test_039
tumor_108,normal_125,test_040
tumor_030,tumor_044,test_041
tumor_022,tumor_048,test_042
tumor_080,tumor_013,test_043
normal_009,normal_048,test_044
normal_101,normal_074,test_045
tumor_005,normal_063,test_046
tumor_085,normal_069,test_047
normal_138,tumor_036,test_048
normal_005,tumor_021,test_050
tumor_094,normal_087,test_051
normal_140,normal_021,test_052
normal_023,normal_106,test_053
tumor_010,normal_026,test_054
normal_094,tumor_106,test_055
tumor_060,,test_056
tumor_049,,test_057
tumor_052,,test_058
normal_088,,test_059
normal_103,,test_060
normal_079,,test_061
normal_060,,test_062
normal_147,,test_063
normal_010,,test_064
normal_152,,test_065
normal_159,,test_066
tumor_001,,test_067
tumor_070,,test_068
tumor_032,,test_069
normal_143,,test_070
normal_018,,test_071
tumor_100,,test_072
normal_110,,test_073
normal_095,,test_074
normal_097,,test_075
normal_098,,test_076
normal_107,,test_077
tumor_023,,test_078
normal_085,,test_079
normal_128,,test_080
normal_047,,test_081
tumor_090,,test_082
normal_141,,test_083
normal_119,,test_084
normal_003,,test_085
normal_130,,test_086
tumor_111,,test_087
tumor_107,,test_088
tumor_089,,test_089
normal_061,,test_090
normal_102,,test_091
tumor_075,,test_092
normal_157,,test_093
tumor_008,,test_094
normal_149,,test_095
tumor_110,,test_096
normal_160,,test_097
tumor_002,,test_098
normal_044,,test_099
normal_108,,test_100
normal_024,,test_101
normal_072,,test_102
tumor_079,,test_103
normal_118,,test_104
normal_099,,test_105
tumor_028,,test_106
normal_056,,test_107
normal_112,,test_108
normal_002,,test_109
normal_025,,test_110
normal_136,,test_111
normal_008,,test_112
normal_077,,test_113
tumor_016,,test_114
normal_156,,test_115
tumor_099,,test_116
normal_051,,test_117
normal_100,,test_118
tumor_042,,test_119
normal_114,,test_120
normal_046,,test_121
tumor_076,,test_122
normal_045,,test_123
normal_126,,test_124
tumor_050,,test_125
tumor_020,,test_126
normal_039,,test_127
normal_078,,test_128
normal_123,,test_129
normal_084,,test_130
normal_054,,
normal_122,,
tumor_037,,
tumor_068,,
normal_006,,
tumor_007,,
normal_127,,
tumor_039,,
tumor_063,,
tumor_087,,
tumor_074,,
tumor_019,,
tumor_098,,
normal_012,,
tumor_046,,
tumor_059,,
normal_016,,
normal_029,,
normal_014,,
normal_151,,
tumor_014,,
tumor_012,,
tumor_006,,
normal_040,,
normal_120,,
normal_076,,
normal_028,,
tumor_072,,
tumor_081,,
tumor_035,,
normal_066,,
tumor_054,,
tumor_097,,
normal_083,,
tumor_018,,
tumor_058,,
normal_031,,
tumor_104,,
tumor_064,,
normal_155,,
normal_093,,
normal_030,,
normal_131,,
tumor_034,,
normal_017,,
tumor_109,,
tumor_024,,
normal_142,,
normal_117,,
normal_145,,
tumor_092,,
tumor_083,,
tumor_088,,
normal_053,,
normal_038,,
normal_115,,
tumor_033,,
tumor_078,,
normal_067,,
tumor_077,,
normal_004,,
normal_011,,
normal_057,,
normal_022,,
normal_081,,
normal_116,,
normal_065,,
normal_015,,
normal_068,,
tumor_041,,
tumor_040,,
tumor_053,,
normal_132,,
tumor_102,,
normal_158,,
normal_089,,
normal_013,,
tumor_061,,
normal_144,,
tumor_069,,
normal_137,,
tumor_103,,
tumor_082,,
normal_091,,
normal_019,,
normal_129,,
