train,val,test
normal_041,tumor_019,test_001
normal_057,normal_076,test_002
tumor_009,tumor_065,test_003
normal_052,tumor_044,test_004
tumor_041,normal_064,test_005
normal_038,normal_121,test_006
tumor_020,normal_048,test_007
tumor_103,tumor_010,test_008
normal_147,normal_071,test_009
normal_109,tumor_076,test_010
normal_160,normal_036,test_011
tumor_084,normal_139,test_012
normal_069,normal_128,test_013
normal_044,normal_138,test_014
normal_004,normal_059,test_015
tumor_049,tumor_050,test_016
normal_045,normal_060,test_017
normal_068,normal_084,test_018
tumor_078,normal_135,test_019
tumor_040,tumor_061,test_020
tumor_109,normal_092,test_021
normal_108,tumor_003,test_022
tumor_072,tumor_081,test_023
tumor_074,tumor_023,test_024
tumor_111,normal_130,test_025
normal_085,normal_149,test_026
tumor_031,normal_100,test_027
normal_015,tumor_038,test_028
tumor_064,normal_134,test_029
tumor_101,normal_093,test_030
normal_025,tumor_106,test_031
normal_117,tumor_110,test_032
tumor_100,normal_013,test_033
tumor_069,normal_141,test_034
tumor_057,tumor_085,test_035
normal_145,tumor_030,test_036
tumor_025,normal_047,test_037
normal_006,tumor_056,test_038
tumor_045,normal_136,test_039
normal_095,normal_049,test_040
normal_001,normal_074,test_041
normal_051,tumor_075,test_042
normal_020,normal_097,test_043
normal_094,tumor_034,test_044
normal_119,normal_143,test_045
normal_124,tumor_063,test_046
normal_011,tumor_013,test_047
normal_137,tumor_014,test_048
tumor_090,normal_018,test_050
normal_122,normal_083,test_051
tumor_060,normal_118,test_052
normal_131,normal_080,test_053
normal_012,tumor_091,test_054
tumor_006,normal_034,test_055
normal_154,,test_056
normal_146,,test_057
tumor_012,,test_058
tumor_089,,test_059
tumor_102,,test_060
tumor_062,,test_061
tumor_026,,test_062
tumor_096,,test_063
normal_065,,test_064
normal_019,,test_065
tumor_077,,test_066
normal_039,,test_067
normal_127,,test_068
normal_023,,test_069
tumor_007,,test_070
tumor_082,,test_071
normal_053,,test_072
tumor_042,,test_073
normal_140,,test_074
tumor_108,,test_075
tumor_016,,test_076
normal_132,,test_077
normal_007,,test_078
normal_003,,test_079
normal_110,,test_080
normal_116,,test_081
tumor_079,,test_082
tumor_028,,test_083
normal_046,,test_084
normal_126,,test_085
normal_082,,test_086
tumor_107,,test_087
tumor_051,,test_088
normal_087,,test_089
tumor_046,,test_090
normal_158,,test_091
normal_123,,test_092
normal_066,,test_093
tumor_105,,test_094
normal_070,,test_095
normal_114,,test_096
tumor_004,,test_097
tumor_067,,test_098
normal_009,,test_099
tumor_002,,test_100
normal_067,,test_101
tumor_097,,test_102
normal_144,,test_103
tumor_043,,test_104
normal_096,,test_105
tumor_055,,test_106
normal_150,,test_107
tumor_052,,test_108
tumor_053,,test_109
normal_026,,test_110
normal_090,,test_111
normal_042,,test_112
tumor_094,,test_113
normal_125,,test_114
normal_129,,test_115
normal_035,,test_116
normal_033,,test_117
tumor_027,,test_118
normal_050,,test_119
normal_031,,test_120
tumor_021,,test_121
tumor_104,,test_122
normal_075,,test_123
normal_063,,test_124
normal_106,,test_125
tumor_087,,test_126
tumor_001,,test_127
normal_120,,test_128
normal_061,,test_129
normal_021,,test_130
normal_102,,
tumor_071,,
normal_107,,
normal_155,,
normal_016,,
normal_072,,
normal_002,,
normal_054,,
tumor_015,,
normal_157,,
tumor_068,,
normal_014,,
tumor_095,,
tumor_024,,
normal_148,,
normal_133,,
normal_089,,
normal_104,,
tumor_005,,
tumor_080,,
tumor_088,,
normal_008,,
tumor_058,,
tumor_008,,
tumor_039,,
normal_111,,
tumor_098,,
normal_142,,
normal_159,,
normal_103,,
tumor_018,,
tumor_011,,
normal_088,,
normal_152,,
tumor_099,,
normal_010,,
tumor_083,,
normal_028,,
normal_099,,
normal_156,,
tumor_073,,
tumor_054,,
normal_098,,
normal_029,,
tumor_086,,
normal_113,,
tumor_022,,
normal_022,,
tumor_048,,
normal_153,,
normal_037,,
tumor_017,,
tumor_035,,
normal_079,,
tumor_070,,
tumor_033,,
normal_005,,
tumor_036,,
normal_030,,
normal_062,,
normal_078,,
normal_112,,
normal_105,,
normal_058,,
tumor_092,,
normal_024,,
tumor_066,,
tumor_029,,
normal_043,,
normal_101,,
normal_056,,
normal_017,,
normal_081,,
tumor_032,,
normal_091,,
normal_077,,
normal_040,,
tumor_059,,
tumor_037,,
normal_032,,
normal_115,,
normal_055,,
tumor_093,,
tumor_047,,
normal_073,,
normal_151,,
