train,val,test
tumor_099,normal_047,test_001
normal_035,normal_152,test_002
normal_141,normal_138,test_003
tumor_051,tumor_071,test_004
normal_006,tumor_093,test_005
normal_084,normal_040,test_006
tumor_078,normal_140,test_007
normal_110,normal_127,test_008
normal_118,normal_009,test_009
normal_059,normal_072,test_010
normal_153,tumor_064,test_011
tumor_067,tumor_085,test_012
normal_011,normal_137,test_013
normal_103,tumor_017,test_014
tumor_013,tumor_109,test_015
normal_115,tumor_055,test_016
tumor_063,tumor_056,test_017
normal_073,tumor_006,test_018
normal_143,normal_039,test_019
normal_147,tumor_069,test_020
tumor_040,normal_160,test_021
normal_158,tumor_030,test_022
normal_090,normal_004,test_023
tumor_003,tumor_026,test_024
tumor_075,normal_019,test_025
normal_025,normal_083,test_026
normal_014,normal_157,test_027
tumor_014,normal_056,test_028
normal_043,normal_082,test_029
normal_069,tumor_088,test_030
normal_098,normal_131,test_031
normal_099,normal_149,test_032
tumor_009,tumor_087,test_033
tumor_057,normal_052,test_034
normal_126,tumor_082,test_035
normal_080,tumor_001,test_036
normal_121,normal_136,test_037
normal_061,normal_022,test_038
normal_144,normal_042,test_039
normal_081,normal_120,test_040
normal_050,tumor_027,test_041
normal_148,normal_018,test_042
normal_096,normal_111,test_043
normal_031,normal_066,test_044
tumor_007,tumor_110,test_045
normal_129,normal_135,test_046
tumor_024,tumor_047,test_047
normal_097,tumor_097,test_048
tumor_010,normal_051,test_050
normal_044,normal_159,test_051
normal_005,tumor_012,test_052
tumor_089,normal_064,test_053
tumor_073,normal_038,test_054
tumor_095,tumor_018,test_055
normal_074,,test_056
tumor_092,,test_057
tumor_077,,test_058
normal_032,,test_059
tumor_065,,test_060
normal_156,,test_061
tumor_034,,test_062
tumor_104,,test_063
tumor_094,,test_064
normal_094,,test_065
tumor_083,,test_066
tumor_060,,test_067
tumor_059,,test_068
tumor_043,,test_069
tumor_050,,test_070
tumor_044,,test_071
normal_076,,test_072
normal_125,,test_073
normal_130,,test_074
normal_105,,test_075
normal_114,,test_076
tumor_036,,test_077
normal_062,,test_078
tumor_023,,test_079
tumor_025,,test_080
tumor_066,,test_081
tumor_049,,test_082
tumor_062,,test_083
tumor_096,,test_084
normal_088,,test_085
normal_024,,test_086
normal_058,,test_087
tumor_053,,test_088
normal_001,,test_089
normal_150,,test_090
normal_154,,test_091
tumor_022,,test_092
normal_113,,test_093
normal_055,,test_094
tumor_058,,test_095
tumor_045,,test_096
normal_016,,test_097
normal_037,,test_098
normal_104,,test_099
normal_041,,test_100
tumor_011,,test_101
tumor_046,,test_102
normal_075,,test_103
normal_089,,test_104
tumor_042,,test_105
tumor_015,,test_106
tumor_035,,test_107
normal_124,,test_108
normal_002,,test_109
tumor_019,,test_110
normal_045,,test_111
tumor_037,,test_112
normal_029,,test_113
normal_091,,test_114
normal_092,,test_115
normal_033,,test_116
tumor_038,,test_117
normal_107,,test_118
normal_067,,test_119
normal_095,,test_120
normal_100,,test_121
tumor_090,,test_122
normal_065,,test_123
normal_139,,test_124
normal_048,,test_125
tumor_079,,test_126
normal_030,,test_127
tumor_008,,test_128
normal_106,,test_129
tumor_016,,test_130
tumor_054,,
normal_117,,
normal_146,,
tumor_072,,
normal_102,,
tumor_086,,
tumor_032,,
tumor_081,,
tumor_101,,
normal_155,,
tumor_106,,
normal_087,,
tumor_004,,
tumor_002,,
normal_053,,
tumor_074,,
normal_003,,
normal_020,,
normal_142,,
tumor_048,,
normal_119,,
normal_071,,
tumor_080,,
tumor_098,,
normal_063,,
tumor_102,,
tumor_005,,
normal_079,,
normal_023,,
normal_054,,
tumor_068,,
normal_046,,
normal_034,,
normal_070,,
normal_013,,
tumor_105,,
tumor_033,,
normal_036,,
normal_132,,
normal_116,,
normal_122,,
tumor_100,,
tumor_031,,
normal_068,,
tumor_028,,
normal_112,,
normal_021,,
tumor_029,,
normal_145,,
normal_007,,
tumor_111,,
normal_108,,
normal_151,,
tumor_107,,
normal_049,,
tumor_076,,
tumor_084,,
normal_093,,
normal_028,,
tumor_039,,
tumor_070,,
normal_109,,
tumor_052,,
normal_057,,
tumor_041,,
normal_077,,
normal_128,,
normal_015,,
normal_010,,
tumor_091,,
tumor_108,,
normal_017,,
tumor_021,,
normal_101,,
normal_060,,
normal_134,,
normal_078,,
normal_123,,
normal_085,,
normal_012,,
tumor_020,,
tumor_061,,
normal_133,,
normal_008,,
normal_026,,
tumor_103,,
