train,val,test
normal_010,tumor_006,test_001
normal_036,normal_109,test_002
normal_064,normal_095,test_003
tumor_001,normal_039,test_004
tumor_110,normal_058,test_005
normal_047,normal_067,test_006
normal_133,normal_026,test_007
tumor_109,tumor_007,test_008
tumor_017,normal_097,test_009
normal_029,tumor_093,test_010
normal_062,tumor_076,test_011
normal_082,normal_140,test_012
normal_159,tumor_046,test_013
tumor_094,tumor_003,test_014
normal_115,tumor_009,test_015
tumor_060,tumor_028,test_016
normal_100,tumor_099,test_017
tumor_038,tumor_107,test_018
normal_129,normal_015,test_019
tumor_022,normal_149,test_020
normal_094,normal_012,test_021
tumor_025,tumor_071,test_022
tumor_024,tumor_013,test_023
tumor_005,normal_048,test_024
normal_111,normal_063,test_025
tumor_084,tumor_039,test_026
normal_099,tumor_079,test_027
tumor_089,normal_008,test_028
normal_150,tumor_016,test_029
tumor_091,normal_041,test_030
normal_046,normal_013,test_031
tumor_072,tumor_051,test_032
tumor_078,normal_141,test_033
normal_151,normal_142,test_034
normal_158,normal_092,test_035
tumor_053,normal_034,test_036
normal_023,normal_120,test_037
normal_001,normal_031,test_038
tumor_023,tumor_027,test_039
tumor_062,normal_038,test_040
normal_066,normal_065,test_041
normal_102,normal_145,test_042
normal_054,tumor_012,test_043
normal_059,normal_106,test_044
normal_087,tumor_075,test_045
normal_152,normal_113,test_046
normal_053,tumor_010,test_047
normal_083,tumor_058,test_048
normal_025,tumor_043,test_050
tumor_019,normal_148,test_051
normal_130,normal_037,test_052
normal_044,normal_124,test_053
normal_024,normal_052,test_054
normal_160,normal_074,test_055
normal_118,,test_056
normal_051,,test_057
normal_045,,test_058
tumor_054,,test_059
tumor_066,,test_060
normal_030,,test_061
tumor_077,,test_062
tumor_069,,test_063
normal_070,,test_064
normal_068,,test_065
normal_131,,test_066
normal_084,,test_067
normal_155,,test_068
normal_040,,test_069
tumor_037,,test_070
normal_127,,test_071
normal_121,,test_072
normal_032,,test_073
normal_093,,test_074
normal_075,,test_075
normal_098,,test_076
normal_146,,test_077
normal_096,,test_078
tumor_080,,test_079
normal_004,,test_080
normal_137,,test_081
normal_003,,test_082
normal_085,,test_083
normal_138,,test_084
tumor_035,,test_085
normal_028,,test_086
normal_103,,test_087
normal_077,,test_088
normal_007,,test_089
normal_091,,test_090
normal_042,,test_091
normal_110,,test_092
normal_071,,test_093
tumor_033,,test_094
normal_079,,test_095
normal_101,,test_096
tumor_042,,test_097
tumor_026,,test_098
normal_108,,test_099
tumor_100,,test_100
normal_104,,test_101
normal_117,,test_102
normal_076,,test_103
normal_119,,test_104
tumor_008,,test_105
tumor_090,,test_106
normal_021,,test_107
tumor_049,,test_108
normal_154,,test_109
normal_009,,test_110
tumor_067,,test_111
tumor_002,,test_112
tumor_061,,test_113
normal_132,,test_114
normal_033,,test_115
normal_126,,test_116
tumor_031,,test_117
normal_112,,test_118
normal_143,,test_119
normal_072,,test_120
tumor_055,,test_121
tumor_092,,test_122
normal_055,,test_123
normal_089,,test_124
tumor_101,,test_125
tumor_081,,test_126
tumor_104,,test_127
tumor_021,,test_128
normal_081,,test_129
tumor_102,,test_130
tumor_032,,
normal_043,,
tumor_047,,
tumor_040,,
tumor_015,,
tumor_044,,
normal_128,,
normal_135,,
normal_056,,
normal_061,,
normal_144,,
normal_147,,
tumor_105,,
normal_035,,
tumor_020,,
normal_022,,
tumor_034,,
normal_123,,
tumor_030,,
tumor_036,,
tumor_018,,
tumor_052,,
normal_107,,
tumor_029,,
tumor_014,,
normal_011,,
tumor_111,,
normal_114,,
tumor_068,,
normal_078,,
normal_116,,
tumor_004,,
normal_069,,
tumor_098,,
tumor_086,,
normal_017,,
tumor_087,,
normal_139,,
tumor_095,,
tumor_065,,
normal_105,,
normal_005,,
normal_134,,
normal_090,,
normal_018,,
tumor_108,,
tumor_057,,
tumor_096,,
tumor_073,,
normal_057,,
normal_002,,
normal_156,,
tumor_074,,
normal_088,,
normal_122,,
tumor_050,,
normal_006,,
tumor_097,,
tumor_041,,
tumor_083,,
normal_014,,
normal_060,,
normal_080,,
tumor_103,,
tumor_056,,
normal_049,,
normal_157,,
tumor_088,,
tumor_048,,
tumor_011,,
normal_020,,
normal_050,,
tumor_045,,
tumor_070,,
tumor_059,,
normal_136,,
tumor_064,,
tumor_106,,
normal_153,,
normal_073,,
tumor_085,,
normal_019,,
normal_016,,
normal_125,,
tumor_063,,
tumor_082,,
