train,val,test
tumor_039,normal_112,test_001
tumor_032,normal_134,test_002
tumor_102,tumor_056,test_003
normal_085,normal_048,test_004
tumor_052,normal_099,test_005
normal_005,normal_011,test_006
normal_034,normal_124,test_007
normal_045,normal_084,test_008
normal_053,tumor_031,test_009
normal_157,normal_155,test_010
normal_135,normal_068,test_011
normal_101,normal_126,test_012
normal_050,normal_037,test_013
normal_154,normal_115,test_014
tumor_075,normal_156,test_015
normal_018,tumor_003,test_016
tumor_008,tumor_085,test_017
normal_021,tumor_107,test_018
tumor_009,tumor_045,test_019
tumor_007,tumor_035,test_020
normal_075,normal_065,test_021
normal_139,normal_042,test_022
normal_083,normal_049,test_023
normal_129,normal_004,test_024
normal_025,normal_006,test_025
normal_132,tumor_002,test_026
tumor_023,tumor_014,test_027
normal_104,normal_147,test_028
tumor_082,normal_138,test_029
tumor_022,tumor_057,test_030
tumor_108,tumor_088,test_031
normal_003,normal_103,test_032
normal_061,normal_153,test_033
normal_015,tumor_020,test_034
normal_097,normal_043,test_035
tumor_079,tumor_090,test_036
tumor_068,normal_136,test_037
tumor_050,normal_137,test_038
normal_047,normal_060,test_039
normal_080,tumor_093,test_040
normal_125,tumor_053,test_041
normal_057,normal_031,test_042
normal_090,tumor_006,test_043
normal_039,normal_030,test_044
normal_106,tumor_034,test_045
normal_119,tumor_016,test_046
tumor_109,normal_142,test_047
tumor_005,tumor_004,test_048
normal_023,normal_151,test_050
normal_102,normal_076,test_051
tumor_060,tumor_069,test_052
tumor_021,normal_073,test_053
normal_148,tumor_084,test_054
tumor_070,tumor_037,test_055
normal_051,,test_056
tumor_054,,test_057
normal_070,,test_058
normal_020,,test_059
normal_091,,test_060
normal_109,,test_061
normal_096,,test_062
normal_130,,test_063
normal_062,,test_064
normal_117,,test_065
normal_145,,test_066
tumor_066,,test_067
normal_122,,test_068
normal_113,,test_069
normal_029,,test_070
tumor_043,,test_071
tumor_017,,test_072
normal_012,,test_073
tumor_025,,test_074
normal_087,,test_075
tumor_073,,test_076
normal_026,,test_077
normal_160,,test_078
tumor_019,,test_079
tumor_028,,test_080
normal_058,,test_081
normal_002,,test_082
normal_116,,test_083
tumor_110,,test_084
normal_032,,test_085
normal_067,,test_086
tumor_063,,test_087
tumor_042,,test_088
tumor_078,,test_089
tumor_027,,test_090
normal_041,,test_091
tumor_055,,test_092
tumor_064,,test_093
tumor_081,,test_094
normal_082,,test_095
normal_052,,test_096
tumor_038,,test_097
normal_159,,test_098
normal_071,,test_099
normal_152,,test_100
tumor_036,,test_101
normal_077,,test_102
tumor_074,,test_103
tumor_095,,test_104
tumor_046,,test_105
tumor_001,,test_106
normal_013,,test_107
normal_094,,test_108
normal_078,,test_109
normal_014,,test_110
tumor_065,,test_111
normal_064,,test_112
tumor_094,,test_113
normal_150,,test_114
tumor_062,,test_115
tumor_030,,test_116
normal_141,,test_117
tumor_018,,test_118
tumor_041,,test_119
normal_158,,test_120
tumor_083,,test_121
tumor_105,,test_122
tumor_044,,test_123
tumor_080,,test_124
tumor_096,,test_125
normal_054,,test_126
normal_110,,test_127
normal_066,,test_128
normal_118,,test_129
normal_046,,test_130
tumor_101,,
normal_074,,
normal_128,,
tumor_040,,
normal_038,,
normal_033,,
normal_123,,
normal_100,,
normal_009,,
tumor_061,,
tumor_058,,
normal_017,,
tumor_104,,
normal_028,,
normal_107,,
normal_035,,
normal_131,,
normal_114,,
tumor_047,,
tumor_099,,
normal_059,,
tumor_092,,
tumor_087,,
normal_093,,
tumor_106,,
normal_072,,
tumor_077,,
tumor_086,,
normal_098,,
normal_127,,
normal_063,,
normal_121,,
tumor_076,,
tumor_026,,
normal_055,,
normal_056,,
tumor_103,,
normal_036,,
tumor_024,,
tumor_097,,
tumor_011,,
tumor_067,,
normal_140,,
normal_143,,
normal_079,,
normal_024,,
normal_105,,
tumor_071,,
normal_144,,
tumor_012,,
tumor_089,,
tumor_015,,
normal_092,,
tumor_091,,
normal_069,,
tumor_029,,
tumor_098,,
normal_095,,
tumor_059,,
normal_007,,
tumor_048,,
tumor_072,,
normal_133,,
normal_081,,
tumor_013,,
tumor_010,,
normal_040,,
normal_016,,
normal_088,,
normal_146,,
normal_010,,
tumor_111,,
normal_089,,
normal_120,,
tumor_051,,
tumor_049,,
normal_111,,
normal_149,,
normal_044,,
normal_001,,
normal_019,,
normal_108,,
normal_008,,
normal_022,,
tumor_033,,
tumor_100,,
